omics,outcome,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
metscore,va,-36.2503095,-35.86702524,-35.48374099,-35.10045673,-34.71717247,-34.33388822,-33.95060396,-33.5673197,-33.18403544,-32.80075119,-32.41746693,-32.03418267,-31.65089841,-31.26761416,-30.8843299,-30.50104564,-30.11776139,-29.73447713,-29.35119287,-28.96790861,-28.58462436,-28.2013401,-27.81805584,-27.43477158,-27.05148733,-26.66820307,-26.28491881,-25.90163456,-25.5183503,-25.13506604,-24.75178178,-24.36849753,-23.98521327,-23.60192901,-23.21864475,-22.8353605,-22.45207624,-22.06879198,-21.68550773,-21.30222347,-20.91893921,-20.53565495,-20.1523707,-19.76908644,-19.38580218,-19.00251792,-18.61923367,-18.23594941,-17.85266515,-17.4693809,-17.08609664,-16.70281238,-16.31952812,-15.93624387,-15.55295961,-15.16967535,-14.78639109,-14.40310684,-14.01982258,-13.63653832,-13.25325407,-12.86996981,-12.48668555,-12.10340129,-11.72011704,-11.33683278,-10.95354852,-10.57026426,-10.18698001,-9.80369575,-9.420411492,-9.037127235,-8.653842978,-8.270558721,-7.887274463,-7.503990206,-7.120705949,-6.737421692,-6.354137434,-5.970853177,-5.58756892,-5.204284663,-4.821000405,-4.437716148,-4.054431891,-3.671147633,-3.287863376,-2.904579119,-2.521294862,-2.138010604,-1.754726347,-1.37144209,-0.988157833,-0.604873575,-0.221589318,0.161694939,0.544979197,0.928263454,1.311547711,1.694831968
metscore,pad,-29.80465473,-29.4790585,-29.15346228,-28.82786605,-28.50226982,-28.1766736,-27.85107737,-27.52548115,-27.19988492,-26.8742887,-26.54869247,-26.22309625,-25.89750002,-25.5719038,-25.24630757,-24.92071135,-24.59511512,-24.26951889,-23.94392267,-23.61832644,-23.29273022,-22.96713399,-22.64153777,-22.31594154,-21.99034532,-21.66474909,-21.33915287,-21.01355664,-20.68796042,-20.36236419,-20.03676796,-19.71117174,-19.38557551,-19.05997929,-18.73438306,-18.40878684,-18.08319061,-17.75759439,-17.43199816,-17.10640194,-16.78080571,-16.45520949,-16.12961326,-15.80401703,-15.47842081,-15.15282458,-14.82722836,-14.50163213,-14.17603591,-13.85043968,-13.52484346,-13.19924723,-12.87365101,-12.54805478,-12.22245855,-11.89686233,-11.5712661,-11.24566988,-10.92007365,-10.59447743,-10.2688812,-9.943284977,-9.617688752,-9.292092526,-8.966496301,-8.640900076,-8.31530385,-7.989707625,-7.664111399,-7.338515174,-7.012918949,-6.687322723,-6.361726498,-6.036130272,-5.710534047,-5.384937822,-5.059341596,-4.733745371,-4.408149145,-4.08255292,-3.756956695,-3.431360469,-3.105764244,-2.780168018,-2.454571793,-2.128975568,-1.803379342,-1.477783117,-1.152186891,-0.826590666,-0.500994441,-0.175398215,0.15019801,0.475794236,0.801390461,1.126986686,1.452582912,1.778179137,2.103775363,2.429371588
metscore,aaa,-34.24925811,-33.89400712,-33.53875614,-33.18350515,-32.82825417,-32.47300319,-32.1177522,-31.76250122,-31.40725023,-31.05199925,-30.69674827,-30.34149728,-29.9862463,-29.63099531,-29.27574433,-28.92049335,-28.56524236,-28.20999138,-27.85474039,-27.49948941,-27.14423843,-26.78898744,-26.43373646,-26.07848547,-25.72323449,-25.36798351,-25.01273252,-24.65748154,-24.30223055,-23.94697957,-23.59172859,-23.2364776,-22.88122662,-22.52597563,-22.17072465,-21.81547367,-21.46022268,-21.1049717,-20.74972071,-20.39446973,-20.03921875,-19.68396776,-19.32871678,-18.97346579,-18.61821481,-18.26296383,-17.90771284,-17.55246186,-17.19721087,-16.84195989,-16.48670891,-16.13145792,-15.77620694,-15.42095595,-15.06570497,-14.71045399,-14.355203,-13.99995202,-13.64470104,-13.28945005,-12.93419907,-12.57894808,-12.2236971,-11.86844612,-11.51319513,-11.15794415,-10.80269316,-10.44744218,-10.0921912,-9.736940211,-9.381689227,-9.026438243,-8.671187259,-8.315936276,-7.960685292,-7.605434308,-7.250183324,-6.89493234,-6.539681356,-6.184430372,-5.829179388,-5.473928404,-5.11867742,-4.763426436,-4.408175452,-4.052924468,-3.697673484,-3.3424225,-2.987171516,-2.631920532,-2.276669548,-1.921418564,-1.56616758,-1.210916596,-0.855665612,-0.500414628,-0.145163644,0.21008734,0.565338324,0.920589308
metscore,vt,-29.50868584,-29.17878114,-28.84887644,-28.51897174,-28.18906704,-27.85916234,-27.52925764,-27.19935295,-26.86944825,-26.53954355,-26.20963885,-25.87973415,-25.54982945,-25.21992475,-24.89002005,-24.56011535,-24.23021065,-23.90030596,-23.57040126,-23.24049656,-22.91059186,-22.58068716,-22.25078246,-21.92087776,-21.59097306,-21.26106836,-20.93116366,-20.60125897,-20.27135427,-19.94144957,-19.61154487,-19.28164017,-18.95173547,-18.62183077,-18.29192607,-17.96202137,-17.63211667,-17.30221198,-16.97230728,-16.64240258,-16.31249788,-15.98259318,-15.65268848,-15.32278378,-14.99287908,-14.66297438,-14.33306968,-14.00316499,-13.67326029,-13.34335559,-13.01345089,-12.68354619,-12.35364149,-12.02373679,-11.69383209,-11.36392739,-11.03402269,-10.704118,-10.3742133,-10.0443086,-9.714403899,-9.3844992,-9.054594501,-8.724689802,-8.394785103,-8.064880404,-7.734975705,-7.405071005,-7.075166306,-6.745261607,-6.415356908,-6.085452209,-5.75554751,-5.425642811,-5.095738112,-4.765833413,-4.435928714,-4.106024015,-3.776119316,-3.446214617,-3.116309918,-2.786405219,-2.45650052,-2.126595821,-1.796691122,-1.466786423,-1.136881724,-0.806977025,-0.477072326,-0.147167627,0.182737072,0.512641771,0.84254647,1.172451169,1.502355868,1.832260567,2.162165266,2.492069965,2.821974664,3.151879363
metscore,cvd_death,-11.46250592,-11.30223048,-11.14195504,-10.98167959,-10.82140415,-10.66112871,-10.50085326,-10.34057782,-10.18030238,-10.02002693,-9.85975149,-9.699476047,-9.539200603,-9.37892516,-9.218649716,-9.058374273,-8.898098829,-8.737823386,-8.577547942,-8.417272499,-8.256997056,-8.096721612,-7.936446169,-7.776170725,-7.615895282,-7.455619838,-7.295344395,-7.135068951,-6.974793508,-6.814518065,-6.654242621,-6.493967178,-6.333691734,-6.173416291,-6.013140847,-5.852865404,-5.692589961,-5.532314517,-5.372039074,-5.21176363,-5.051488187,-4.891212743,-4.7309373,-4.570661856,-4.410386413,-4.25011097,-4.089835526,-3.929560083,-3.769284639,-3.609009196,-3.448733752,-3.288458309,-3.128182866,-2.967907422,-2.807631979,-2.647356535,-2.487081092,-2.326805648,-2.166530205,-2.006254761,-1.845979318,-1.685703875,-1.525428431,-1.365152988,-1.204877544,-1.044602101,-0.884326657,-0.724051214,-0.56377577,-0.403500327,-0.243224884,-0.08294944,0.077326003,0.237601447,0.39787689,0.558152334,0.718427777,0.87870322,1.038978664,1.199254107,1.359529551,1.519804994,1.680080438,1.840355881,2.000631325,2.160906768,2.321182211,2.481457655,2.641733098,2.802008542,2.962283985,3.122559429,3.282834872,3.443110315,3.603385759,3.763661202,3.923936646,4.084212089,4.244487533,4.404762976
proscore,cad,-2.909731273,-2.837939138,-2.766147003,-2.694354868,-2.622562733,-2.550770597,-2.478978462,-2.407186327,-2.335394192,-2.263602057,-2.191809922,-2.120017787,-2.048225652,-1.976433517,-1.904641382,-1.832849247,-1.761057112,-1.689264977,-1.617472842,-1.545680707,-1.473888572,-1.402096437,-1.330304302,-1.258512167,-1.186720032,-1.114927896,-1.043135761,-0.971343626,-0.899551491,-0.827759356,-0.755967221,-0.684175086,-0.612382951,-0.540590816,-0.468798681,-0.397006546,-0.325214411,-0.253422276,-0.181630141,-0.109838006,-0.038045871,0.033746264,0.105538399,0.177330534,0.24912267,0.320914805,0.39270694,0.464499075,0.53629121,0.608083345,0.67987548,0.751667615,0.82345975,0.895251885,0.96704402,1.038836155,1.11062829,1.182420425,1.25421256,1.326004695,1.39779683,1.469588965,1.5413811,1.613173235,1.684965371,1.756757506,1.828549641,1.900341776,1.972133911,2.043926046,2.115718181,2.187510316,2.259302451,2.331094586,2.402886721,2.474678856,2.546470991,2.618263126,2.690055261,2.761847396,2.833639531,2.905431666,2.977223801,3.049015937,3.120808072,3.192600207,3.264392342,3.336184477,3.407976612,3.479768747,3.551560882,3.623353017,3.695145152,3.766937287,3.838729422,3.910521557,3.982313692,4.054105827,4.125897962,4.197690097
proscore,stroke,-2.788962042,-2.716869977,-2.644777913,-2.572685849,-2.500593785,-2.428501721,-2.356409657,-2.284317593,-2.212225529,-2.140133465,-2.068041401,-1.995949337,-1.923857272,-1.851765208,-1.779673144,-1.70758108,-1.635489016,-1.563396952,-1.491304888,-1.419212824,-1.34712076,-1.275028696,-1.202936631,-1.130844567,-1.058752503,-0.986660439,-0.914568375,-0.842476311,-0.770384247,-0.698292183,-0.626200119,-0.554108055,-0.48201599,-0.409923926,-0.337831862,-0.265739798,-0.193647734,-0.12155567,-0.049463606,0.022628458,0.094720522,0.166812586,0.23890465,0.310996715,0.383088779,0.455180843,0.527272907,0.599364971,0.671457035,0.743549099,0.815641163,0.887733227,0.959825291,1.031917356,1.10400942,1.176101484,1.248193548,1.320285612,1.392377676,1.46446974,1.536561804,1.608653868,1.680745932,1.752837996,1.824930061,1.897022125,1.969114189,2.041206253,2.113298317,2.185390381,2.257482445,2.329574509,2.401666573,2.473758637,2.545850702,2.617942766,2.69003483,2.762126894,2.834218958,2.906311022,2.978403086,3.05049515,3.122587214,3.194679278,3.266771343,3.338863407,3.410955471,3.483047535,3.555139599,3.627231663,3.699323727,3.771415791,3.843507855,3.915599919,3.987691983,4.059784048,4.131876112,4.203968176,4.27606024,4.348152304
proscore,hf,-2.901257979,-2.828452532,-2.755647085,-2.682841638,-2.610036191,-2.537230744,-2.464425297,-2.39161985,-2.318814403,-2.246008956,-2.173203509,-2.100398062,-2.027592616,-1.954787169,-1.881981722,-1.809176275,-1.736370828,-1.663565381,-1.590759934,-1.517954487,-1.44514904,-1.372343593,-1.299538146,-1.226732699,-1.153927252,-1.081121805,-1.008316358,-0.935510911,-0.862705464,-0.789900017,-0.71709457,-0.644289123,-0.571483676,-0.498678229,-0.425872782,-0.353067335,-0.280261888,-0.207456441,-0.134650994,-0.061845547,0.0109599,0.083765347,0.156570794,0.229376241,0.302181688,0.374987135,0.447792582,0.520598029,0.593403476,0.666208923,0.73901437,0.811819817,0.884625264,0.957430711,1.030236158,1.103041605,1.175847052,1.248652499,1.321457946,1.394263393,1.46706884,1.539874287,1.612679734,1.68548518,1.758290627,1.831096074,1.903901521,1.976706968,2.049512415,2.122317862,2.195123309,2.267928756,2.340734203,2.41353965,2.486345097,2.559150544,2.631955991,2.704761438,2.777566885,2.850372332,2.923177779,2.995983226,3.068788673,3.14159412,3.214399567,3.287205014,3.360010461,3.432815908,3.505621355,3.578426802,3.651232249,3.724037696,3.796843143,3.86964859,3.942454037,4.015259484,4.088064931,4.160870378,4.233675825,4.306481272
proscore,af,-2.88309554,-2.808790821,-2.734486102,-2.660181382,-2.585876663,-2.511571944,-2.437267224,-2.362962505,-2.288657785,-2.214353066,-2.140048347,-2.065743627,-1.991438908,-1.917134188,-1.842829469,-1.76852475,-1.69422003,-1.619915311,-1.545610591,-1.471305872,-1.397001153,-1.322696433,-1.248391714,-1.174086994,-1.099782275,-1.025477556,-0.951172836,-0.876868117,-0.802563398,-0.728258678,-0.653953959,-0.579649239,-0.50534452,-0.431039801,-0.356735081,-0.282430362,-0.208125642,-0.133820923,-0.059516204,0.014788516,0.089093235,0.163397955,0.237702674,0.312007393,0.386312113,0.460616832,0.534921551,0.609226271,0.68353099,0.75783571,0.832140429,0.906445148,0.980749868,1.055054587,1.129359307,1.203664026,1.277968745,1.352273465,1.426578184,1.500882904,1.575187623,1.649492342,1.723797062,1.798101781,1.872406501,1.94671122,2.021015939,2.095320659,2.169625378,2.243930097,2.318234817,2.392539536,2.466844256,2.541148975,2.615453694,2.689758414,2.764063133,2.838367853,2.912672572,2.986977291,3.061282011,3.13558673,3.20989145,3.284196169,3.358500888,3.432805608,3.507110327,3.581415047,3.655719766,3.730024485,3.804329205,3.878633924,3.952938643,4.027243363,4.101548082,4.175852802,4.250157521,4.32446224,4.39876696,4.473071679
proscore,va,-2.885449476,-2.812942615,-2.740435755,-2.667928894,-2.595422034,-2.522915174,-2.450408313,-2.377901453,-2.305394592,-2.232887732,-2.160380871,-2.087874011,-2.015367151,-1.94286029,-1.87035343,-1.797846569,-1.725339709,-1.652832848,-1.580325988,-1.507819128,-1.435312267,-1.362805407,-1.290298546,-1.217791686,-1.145284825,-1.072777965,-1.000271105,-0.927764244,-0.855257384,-0.782750523,-0.710243663,-0.637736802,-0.565229942,-0.492723082,-0.420216221,-0.347709361,-0.2752025,-0.20269564,-0.130188779,-0.057681919,0.014824941,0.087331802,0.159838662,0.232345523,0.304852383,0.377359244,0.449866104,0.522372964,0.594879825,0.667386685,0.739893546,0.812400406,0.884907267,0.957414127,1.029920987,1.102427848,1.174934708,1.247441569,1.319948429,1.39245529,1.46496215,1.53746901,1.609975871,1.682482731,1.754989592,1.827496452,1.900003313,1.972510173,2.045017033,2.117523894,2.190030754,2.262537615,2.335044475,2.407551335,2.480058196,2.552565056,2.625071917,2.697578777,2.770085638,2.842592498,2.915099358,2.987606219,3.060113079,3.13261994,3.2051268,3.277633661,3.350140521,3.422647381,3.495154242,3.567661102,3.640167963,3.712674823,3.785181684,3.857688544,3.930195404,4.002702265,4.075209125,4.147715986,4.220222846,4.292729707
proscore,pad,-2.840025988,-2.768399939,-2.69677389,-2.625147842,-2.553521793,-2.481895744,-2.410269695,-2.338643646,-2.267017598,-2.195391549,-2.1237655,-2.052139451,-1.980513403,-1.908887354,-1.837261305,-1.765635256,-1.694009207,-1.622383159,-1.55075711,-1.479131061,-1.407505012,-1.335878964,-1.264252915,-1.192626866,-1.121000817,-1.049374768,-0.97774872,-0.906122671,-0.834496622,-0.762870573,-0.691244524,-0.619618476,-0.547992427,-0.476366378,-0.404740329,-0.333114281,-0.261488232,-0.189862183,-0.118236134,-0.046610085,0.025015963,0.096642012,0.168268061,0.23989411,0.311520159,0.383146207,0.454772256,0.526398305,0.598024354,0.669650402,0.741276451,0.8129025,0.884528549,0.956154598,1.027780646,1.099406695,1.171032744,1.242658793,1.314284841,1.38591089,1.457536939,1.529162988,1.600789037,1.672415085,1.744041134,1.815667183,1.887293232,1.958919281,2.030545329,2.102171378,2.173797427,2.245423476,2.317049524,2.388675573,2.460301622,2.531927671,2.60355372,2.675179768,2.746805817,2.818431866,2.890057915,2.961683963,3.033310012,3.104936061,3.17656211,3.248188159,3.319814207,3.391440256,3.463066305,3.534692354,3.606318403,3.677944451,3.7495705,3.821196549,3.892822598,3.964448646,4.036074695,4.107700744,4.179326793,4.250952842
proscore,aaa,-2.854317,-2.782437389,-2.710557777,-2.638678166,-2.566798554,-2.494918943,-2.423039331,-2.35115972,-2.279280108,-2.207400497,-2.135520885,-2.063641274,-1.991761662,-1.91988205,-1.848002439,-1.776122827,-1.704243216,-1.632363604,-1.560483993,-1.488604381,-1.41672477,-1.344845158,-1.272965547,-1.201085935,-1.129206324,-1.057326712,-0.985447101,-0.913567489,-0.841687878,-0.769808266,-0.697928655,-0.626049043,-0.554169431,-0.48228982,-0.410410208,-0.338530597,-0.266650985,-0.194771374,-0.122891762,-0.051012151,0.020867461,0.092747072,0.164626684,0.236506295,0.308385907,0.380265518,0.45214513,0.524024741,0.595904353,0.667783965,0.739663576,0.811543188,0.883422799,0.955302411,1.027182022,1.099061634,1.170941245,1.242820857,1.314700468,1.38658008,1.458459691,1.530339303,1.602218914,1.674098526,1.745978137,1.817857749,1.88973736,1.961616972,2.033496584,2.105376195,2.177255807,2.249135418,2.32101503,2.392894641,2.464774253,2.536653864,2.608533476,2.680413087,2.752292699,2.82417231,2.896051922,2.967931533,3.039811145,3.111690756,3.183570368,3.255449979,3.327329591,3.399209203,3.471088814,3.542968426,3.614848037,3.686727649,3.75860726,3.830486872,3.902366483,3.974246095,4.046125706,4.118005318,4.189884929,4.261764541
proscore,vt,-2.636998776,-2.562500433,-2.488002089,-2.413503746,-2.339005402,-2.264507059,-2.190008715,-2.115510372,-2.041012028,-1.966513685,-1.892015341,-1.817516998,-1.743018654,-1.668520311,-1.594021968,-1.519523624,-1.445025281,-1.370526937,-1.296028594,-1.22153025,-1.147031907,-1.072533563,-0.99803522,-0.923536876,-0.849038533,-0.774540189,-0.700041846,-0.625543502,-0.551045159,-0.476546815,-0.402048472,-0.327550129,-0.253051785,-0.178553442,-0.104055098,-0.029556755,0.044941589,0.119439932,0.193938276,0.268436619,0.342934963,0.417433306,0.49193165,0.566429993,0.640928337,0.71542668,0.789925023,0.864423367,0.93892171,1.013420054,1.087918397,1.162416741,1.236915084,1.311413428,1.385911771,1.460410115,1.534908458,1.609406802,1.683905145,1.758403489,1.832901832,1.907400176,1.981898519,2.056396862,2.130895206,2.205393549,2.279891893,2.354390236,2.42888858,2.503386923,2.577885267,2.65238361,2.726881954,2.801380297,2.875878641,2.950376984,3.024875328,3.099373671,3.173872015,3.248370358,3.322868701,3.397367045,3.471865388,3.546363732,3.620862075,3.695360419,3.769858762,3.844357106,3.918855449,3.993353793,4.067852136,4.14235048,4.216848823,4.291347167,4.36584551,4.440343853,4.514842197,4.58934054,4.663838884,4.738337227
proscore,cvd_death,-2.661850406,-2.591042297,-2.520234187,-2.449426077,-2.378617968,-2.307809858,-2.237001749,-2.166193639,-2.09538553,-2.02457742,-1.953769311,-1.882961201,-1.812153091,-1.741344982,-1.670536872,-1.599728763,-1.528920653,-1.458112544,-1.387304434,-1.316496324,-1.245688215,-1.174880105,-1.104071996,-1.033263886,-0.962455777,-0.891647667,-0.820839557,-0.750031448,-0.679223338,-0.608415229,-0.537607119,-0.46679901,-0.3959909,-0.32518279,-0.254374681,-0.183566571,-0.112758462,-0.041950352,0.028857757,0.099665867,0.170473977,0.241282086,0.312090196,0.382898305,0.453706415,0.524514524,0.595322634,0.666130744,0.736938853,0.807746963,0.878555072,0.949363182,1.020171291,1.090979401,1.161787511,1.23259562,1.30340373,1.374211839,1.445019949,1.515828058,1.586636168,1.657444278,1.728252387,1.799060497,1.869868606,1.940676716,2.011484825,2.082292935,2.153101044,2.223909154,2.294717264,2.365525373,2.436333483,2.507141592,2.577949702,2.648757811,2.719565921,2.790374031,2.86118214,2.93199025,3.002798359,3.073606469,3.144414578,3.215222688,3.286030798,3.356838907,3.427647017,3.498455126,3.569263236,3.640071345,3.710879455,3.781687565,3.852495674,3.923303784,3.994111893,4.064920003,4.135728112,4.206536222,4.277344332,4.348152441
